2025-09-27 05:34:51,207 - ✅ Normal traffic detected | Flow: {'duration': 122.127442, 'bytes_per_sec': 161.11857972100978, 'packets_per_sec': 0.9498274761212144, 'fwd_packets': 66.0, 'bwd_packets': 50.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:51,454 - ✅ Normal traffic detected | Flow: {'duration': 120.04822, 'bytes_per_sec': 59.42612060387068, 'packets_per_sec': 0.5081291501031835, 'fwd_packets': 37.0, 'bwd_packets': 24.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:51,748 - ✅ Normal traffic detected | Flow: {'duration': 113.664478, 'bytes_per_sec': 1713.5432584311873, 'packets_per_sec': 12.228974473449831, 'fwd_packets': 699.0, 'bwd_packets': 691.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:51,920 - ✅ Normal traffic detected | Flow: {'duration': 113.642935, 'bytes_per_sec': 1469.0926453105071, 'packets_per_sec': 12.125698795090079, 'fwd_packets': 691.0, 'bwd_packets': 687.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:52,091 - ✅ Normal traffic detected | Flow: {'duration': 61.427045, 'bytes_per_sec': 14.391055275408414, 'packets_per_sec': 0.2116331658148296, 'fwd_packets': 2.0, 'bwd_packets': 11.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:52,197 - 🚨 ATTACK DETECTED: TLS Attack (confidence: 1.000) | Flow: {'duration': 0.061667, 'bytes_per_sec': 42664.634245220295, 'packets_per_sec': 324.3225712293447, 'fwd_packets': 11.0, 'bwd_packets': 9.0} | Prediction: tls | Confidence: 1.000 | Threat: medium
2025-09-27 05:34:52,240 - ✅ Normal traffic detected | Flow: {'duration': 110.010864, 'bytes_per_sec': 63.339198935843285, 'packets_per_sec': 0.545400679700143, 'fwd_packets': 36.0, 'bwd_packets': 24.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:52,254 - 🚨 ATTACK DETECTED: TLS Attack (confidence: 1.000) | Flow: {'duration': 0.000143, 'bytes_per_sec': 4566433.566433567, 'packets_per_sec': 34965.03496503496, 'fwd_packets': 3.0, 'bwd_packets': 2.0} | Prediction: tls | Confidence: 1.000 | Threat: medium
2025-09-27 05:34:52,353 - ✅ Normal traffic detected | Flow: {'duration': 10.00125, 'bytes_per_sec': 132.0834895638045, 'packets_per_sec': 1.0998625171853518, 'fwd_packets': 7.0, 'bwd_packets': 4.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:52,722 - ✅ Normal traffic detected | Flow: {'duration': 110.651088, 'bytes_per_sec': 1725.4507248948153, 'packets_per_sec': 13.312114924708196, 'fwd_packets': 806.0, 'bwd_packets': 667.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:52,737 - ✅ Normal traffic detected | Flow: {'duration': 110.651088, 'bytes_per_sec': 1725.4507248948153, 'packets_per_sec': 13.312114924708196, 'fwd_packets': 806.0, 'bwd_packets': 667.0} | Prediction: normal | Confidence: 1.000 | Threat: low
